city	longitude	latitude
北京	116.46667	39.90000
上海	121.48333	31.23333
天津	117.18333	39.15000
重庆	106.53333	29.53333
哈尔滨	126.68333	45.75000
长春	125.31667	43.86667
沈阳	123.40000	41.83333
呼和浩特	111.80000	40.81667
石家庄	114.46667	38.03333
太原	112.56667	37.86667
济南	117.00000	36.63333
郑州	113.70000	34.80000
西安	108.90000	34.26667
兰州	103.81667	36.05000
银川	106.26667	38.33333
西宁	101.75000	36.63333
乌鲁木齐	87.60000	43.80000
合肥	117.30000	31.85000
南京	118.83333	32.03333
杭州	120.15000	30.23333
长沙	113.00000	28.18333
南昌	115.86667	28.68333
武汉	114.35000	30.61667
成都	104.08333	30.65000
贵阳	106.70000	26.58333
福州	119.30000	26.08333
台北	121.51667	25.05000
广州	113.25000	23.13333
海口	110.33333	20.03333
南宁	108.33333	22.80000
昆明	102.68333	25.00000
拉萨	91.16667	29.66667
香港	114.16667	22.30000
澳门	113.50000	22.20000